title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
The-Runner,3031,126.37625,80.02062255,76.68738678,83.77525752,69.49724979,0.320116751,0.53563957,5.005,0.041708333,394,42.0830725,40.06856631,37.77880949,0.025286597,0.032744649,0.171003274,0,5.642857143,8.582433412,36,1,14,0.004618938,The Runner,http://www.movie-list.com/trailers/runner,Drama,7-Aug-15,http://imdb.com/title/tt3687398/,0.132629548,0.057158781,0,0.313565225,0.104,0.104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Sacrament,3155,131.5480833,53.33861908,45.73730248,56.81025736,55.43963416,0.659997697,1.214056921,12.137125,0.041708333,199,38.46278079,50.28899359,45.56948047,0.017785067,0.025443544,0.293097873,0,4.222222222,7.927137325,36,1,18,0.00570523,The Sacrament,http://www.movie-list.com/trailers/sacrament,Horror/ Thriller,6-Jun-14,http://imdb.com/title/tt2383068/,0.08744953,0.040683436,0,0.224800378,0.092307692,0.046153846,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Salvation,3599,149.9166667,46.042221,37.40286838,47.76065714,59.8859465,0.392070979,0.715722796,6.208333333,0.041666667,371,20.75244624,24.33535462,30.29779651,0.029687504,0.024268035,0.107589005,0,16.85714286,36.81392815,107,1,7,0.001944985,The Salvation,http://www.movie-list.com/trailers/salvation,Drama/ Western,27-Feb-15,http://imdb.com/title/tt2720680/,0.209105427,0.077573613,0.067058234,0.402391947,0.074324324,0.074324324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The-Sapphires,3277,136.6365,60.49794542,52.06535357,63.29485718,68.25903574,0.473760163,0.647950831,5.046708333,0.041708333,287,22.65575414,29.09632037,31.55334478,0.04008397,0.029204204,0.18437488,0,15,0,15,15,1,0.000305157,The Sapphires,http://www.movie-list.com/trailers/sapphires,Comedy/ Drama/ Musical,22-Mar-13,http://www.imdb.com/title/tt1673697/,0.116611149,0.061436495,0,0.396886761,0.081481481,0.051851852,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The-Scribbler,2586,107.8160417,31.86211603,31.53631185,33.55989551,24.00222585,0.378988718,0.705556316,5.046708333,0.041708333,277,27.55321658,26.06759112,17.78331663,0.02070631,0.019258889,0.097479723,0.005463811,0,0,0,0,0,0,The Scribbler,http://www.movie-list.com/trailers/scribbler,,19-Sep-14,http://imdb.com/title/tt2396721/,0.094365566,0.044967499,0,0.176874783,0.047169811,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Search-for-General-Tso,3808,158.783625,74.1320331,61.94804863,76.26928418,95.13764524,0.541638936,0.795453043,4.713041667,0.041708333,293,36.02374015,38.99496588,42.51042062,0.022945246,0.024139478,0.140942925,0,1.4,0.8,3,1,5,0.001313025,The Search for General Tso,http://www.movie-list.com/trailers/searchforgeneraltso,Documentary/ Comedy/ History,2-Jan-15,http://imdb.com/title/tt3576038/,0.105787459,0.047860441,0,0.226659724,0.146496815,0.127388535,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The-Second-Best-Exotic-Marigold-Hotel,2701,112.6125,86.14193599,67.38924025,92.0717324,104.8525014,0.380784272,0.76733659,7.215541667,0.041708333,293,51.81625789,61.65989844,62.54936807,0.044226838,0.036171711,0.196987017,0,8.777777778,8.416620829,24,2,9,0.003332099,The Second Best Exotic Marigold Hotel,http://www.movie-list.com/trailers/secondbestexoticmarigoldhotel,Comedy/ Drama,6-Mar-15,http://imdb.com/title/tt2555736/,0.059493251,0.025471394,0,0.10858483,0.072072072,0.09009009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Secret-in-Their-Eyes,3456,144.1022917,41.56131931,39.24570422,42.07394262,45.02959648,0.414919789,0.849911317,12.22054167,0.041708333,347,19.53895742,19.90373502,20.09895215,0.012951472,0.013687489,0.082484559,0,4.588235294,5.20247479,19,1,17,0.004918981,The Secret in Their Eyes,http://www.movie-list.com/trailers/secretintheireyes,Mystery/ Thriller,20-Nov-15,http://imdb.com/title/tt1741273/,0.114944832,0.042845248,0.02296117,0.225664713,0.111888112,0.111888112,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Secret-Life-of-Pets,3855,160.7439167,144.4124507,135.7525559,147.7096577,150.267041,0.595951087,1.669663877,18.43508333,0.041708333,253,45.85781979,36.26462608,43.0041007,0.04176946,0.027105062,0.10578582,0,7.333333333,6.141841924,24,3,12,0.00311284,The Secret Life of Pets,http://www.movie-list.com/trailers/secretlifeofpets,Animation,8-Jul-16,http://imdb.com/title/tt2709768/,0.10888516,0.068289053,0,0.306161458,0.031446541,0.025157233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Secret-Life-of-Walter-Mitty,2885,120.2868333,85.85251542,82.58946791,89.71236801,74.60845124,0.735559928,1.214925279,8.591916667,0.041708333,162,38.86758752,39.64808991,41.47165663,0.036334699,0.029551323,0.205349562,0,17.75,12.89137308,33,4,4,0.001386482,The Secret Life of Walter Mitty,http://www.movie-list.com/trailers/secretlifeofwaltermitty,Adventure/ Comedy/ Drama,25-Dec-13,http://imdb.com/title/tt0359950/,0.085350913,0.054757314,0,0.23514894,0.050420168,0.016806723,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
