title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,octave1,octave2,octave3,octave4,octave5,octave6,octave7,octave8,octave9,octave10,octave11,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
Escape-Plan,3625,151.151,44.22039489,41.36318052,45.50588597,45.13144889,0.309271226,0.451422644,5.005,0.041708333,477,28.04964311,30.54372483,29.4894804,0.021196537,0.023619707,0.172798426,0.000677849,0,0,0,0,0,0,0.108431445,0.056201698,0,0.257358019,0.166666667,0.146666667,0.0063126,0.037675,0.074689,0.067265,0.075721,0.10297,0.11506,0.14007,0.15495,0.16875,0.056537,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escobar-Paradise-Lost,3721,155.155,49.54412034,38.36144703,53.93310651,56.30833598,0.540587161,0.856650598,7.632625,0.041708333,283,28.21222944,36.21566005,41.81748692,0.019389603,0.027925079,0.17686983,0,9.882352941,8.635646731,28,1,17,0.004568664,0.067336287,0.03966743,0,0.206049738,0.058441558,0.084415584,0.0069508,0.026707,0.053793,0.12303,0.13485,0.15133,0.12793,0.13225,0.11994,0.099456,0.023771,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everest,4130,172.2137083,63.02908019,68.18820396,62.21688975,53.73957675,0.491526389,0.85033848,7.5075,0.041708333,330,41.35500054,35.50161523,32.62019021,0.026369831,0.031063496,0.192594428,0,11.35,11.38540733,38,1,20,0.004842615,0.113685347,0.078919835,0,0.327594829,0.076023392,0.058479532,0.014895,0.050711,0.065121,0.074073,0.087079,0.12248,0.14938,0.13472,0.12277,0.12535,0.053412,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Everly,2911,121.25,25.84974742,23.41780474,26.09628028,30.97937772,0.331481481,0.765696375,11.75,0.041666667,360,27.93290921,28.14178412,28.98663039,0.013163627,0.01338122,0.075288385,0,12.66666667,9.177266599,31,1,12,0.004122295,0.067511538,0.034845983,0.00816319,0.179125168,0.125,0.116666667,0.014584,0.033724,0.066354,0.06816,0.061027,0.078945,0.10365,0.14085,0.16613,0.18856,0.07802,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everybody-Wants-Some,3606,150.3585417,83.22000563,69.89977581,84.57044878,111.2641158,0.766363889,0.749523128,4.295958333,0.041708333,195,33.55583564,26.93155705,43.75450349,0.028603758,0.022490232,0.139518229,0,32.66666667,12.28368385,50,23,3,0.000831947,0.118308827,0.042705137,0,0.19881198,0.11409396,0.046979866,0.00034996,0.0044821,0.040004,0.059163,0.11172,0.16612,0.14165,0.14562,0.12615,0.15031,0.054424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exists,3229,134.6345,48.72994818,40.83365485,52.92436754,47.87864031,0.276768261,0.554604665,5.005,0.041708333,486,38.32275211,44.3519626,44.8342164,0.02764635,0.041613897,0.206523438,0,7.411764706,9.311970939,30,1,17,0.005264788,0.095646589,0.073274743,0,0.329597882,0.142857143,0.120300752,0.013078,0.062485,0.090639,0.059426,0.063747,0.11938,0.1616,0.1349,0.12787,0.12111,0.045766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ex-Machina,2975,124.0405833,40.91631143,39.09098977,42.39679159,38.11489413,0.34040506,1.049645851,15.18183333,0.041708333,359,27.43445052,28.74273589,24.16529147,0.017686689,0.029574711,0.216296761,0,8.625,14.39780799,68,1,32,0.010756303,0.124127412,0.085361369,0,0.403239771,0.089430894,0.073170732,0.0010946,0.019853,0.11715,0.10703,0.10479,0.13562,0.1523,0.12914,0.10624,0.09798,0.028804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exodus-Gods-and-Kings,2345,97.76433333,31.61846198,21.54261852,36.62595111,32.28017548,0.447682438,0.856712961,5.630625,0.041708333,214,19.85452023,29.10074035,25.00446404,0.029089928,0.033550497,0.201206342,0,9.933333333,13.21346115,47,2,15,0.006396588,0.14639439,0.101319819,0,0.381444787,0.052083333,0.0625,0.0089312,0.0492,0.095624,0.10889,0.1091,0.13824,0.14396,0.11065,0.10959,0.10179,0.024027,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Exposed-aka-Daughter-of-God,2474,103.0416667,55.87615963,48.67581732,58.89927916,59.23755237,0.307557558,0.492522946,3,0.041666667,333,36.42811751,38.62672614,37.68385687,0.021206889,0.017979761,0.084363555,0,2.714285714,3.781444133,14,1,21,0.008488278,0.154721011,0.095438193,0.012902467,0.473110836,0.117647059,0.058823529,0.0074613,0.031996,0.080096,0.057401,0.063212,0.082471,0.096967,0.16741,0.22125,0.14654,0.045198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extraction,2978,124.1657083,42.56560533,41.26075849,43.98252864,38.72824832,0.17285852,0.281115216,2.544208333,0.041708333,713,35.85953278,37.80954152,35.0755188,0.020256558,0.028387018,0.237600528,0,3.432835821,4.154565482,23,1,67,0.022498321,0.128387136,0.073496275,0.012037416,0.341556419,0.105691057,0.089430894,0.00924,0.037322,0.07882,0.074798,0.092114,0.12637,0.13132,0.11189,0.11708,0.15231,0.068729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eye-in-the-Sky,3602,150.1917083,59.83161697,57.01560051,60.79692298,62.29701917,0.457647231,0.68768929,5.130125,0.041708333,328,31.77828269,32.06476481,34.99672355,0.02766641,0.028102552,0.188472387,0,4.454545455,7.062881673,25,1,11,0.003053859,0.112899491,0.037086809,0,0.233641928,0.127516779,0.11409396,0.0022418,0.024477,0.08216,0.088025,0.11022,0.14549,0.12934,0.12236,0.13174,0.12501,0.038929,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fading-Gigolo,3538,147.522375,49.00242967,37.50754552,51.68149156,65.3893752,1.114663168,1.034763716,5.25525,0.041708333,131,39.35181319,46.01224288,44.8547598,0.018760355,0.017965323,0.1034375,0,35,1,36,34,2,0.000565291,0.141874915,0.063053436,0,0.371663227,0.116438356,0.130136986,0.0022059,0.0087606,0.027651,0.083647,0.12904,0.1517,0.14411,0.126,0.15384,0.14649,0.026561,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faith-Connections,5175,206.96,70.49243659,67.16443564,70.11172789,81.24037288,0.493041363,0.689362515,4.96,0.04,411,50.74473425,50.18565814,55.75265945,0.020595868,0.023243923,0.158811849,0,24,15.57776193,36,2,3,0.00057971,0.076535908,0.040282899,0,0.187440725,0.067961165,0.077669903,0.00082603,0.0037106,0.018153,0.045384,0.12215,0.18699,0.22175,0.1754,0.11977,0.078843,0.027018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Family-Weekend,2529,105.4386667,87.40296273,83.62704452,88.21149416,93.21659696,0.768051235,0.736880189,3.712041667,0.041708333,135,42.42219495,37.48119847,37.11508754,0.033168579,0.030727715,0.141409122,0,0,0,0,0,0,0,0.037066862,0.01101125,0,0.060901425,0.134615385,0.086538462,0.00084578,0.007385,0.025576,0.051329,0.09478,0.127,0.15133,0.15645,0.16609,0.1828,0.036408,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Far-from-the-Madding-Crowd,2325,92.96,51.27740979,44.08472821,53.09584587,60.81774563,0.458415842,0.811023962,6.2,0.04,202,26.79931128,32.89622331,37.89232163,0.025459451,0.037493853,0.213986459,0,5.111111111,4.863570806,18,1,9,0.003870968,0.106863676,0.058600906,0,0.246300226,0.097826087,0.108695652,0.0018806,0.020915,0.047933,0.063547,0.15224,0.19783,0.18844,0.11763,0.11212,0.071572,0.025898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast-Furious-6,1489,62.062,63.2694433,58.60485599,64.70020998,68.18797004,0.207127825,0.274239029,1.960291667,0.041708333,295,27.42383318,32.56447496,39.16991185,0.01959996,0.021109134,0.13733467,0,7.733333333,7.869491018,26,2,15,0.010073875,0.142576753,0.056389085,0,0.310837375,0.114754098,0.131147541,0.0032839,0.032463,0.07437,0.059082,0.068202,0.084975,0.081458,0.10992,0.15892,0.26425,0.063079,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fat,2600,108.3999583,53.47247874,50.00201002,53.07616777,64.65936377,0.636883691,0.610071419,3.75375,0.041708333,163,28.36124717,28.2528144,39.13172213,0.016658343,0.023189928,0.179702691,0,41.25,32.86620605,90,1,4,0.001538462,0.133660797,0.072294512,0,0.303588088,0.065420561,0.046728972,0.0029683,0.010344,0.028464,0.045391,0.07845,0.13493,0.15584,0.1954,0.16218,0.13827,0.047773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fathers-and-Daughters,2880,120.0782917,37.99674982,29.8627334,40.63235338,45.78585414,0.369157609,0.665561472,4.671333333,0.041708333,322,24.78596554,25.78016994,23.83499417,0.014778744,0.014920058,0.12696072,0,3.5,2.692582404,8,1,4,0.001388889,0.106463259,0.039756083,0.02296121,0.213297566,0.117647059,0.168067227,0.00194,0.0093139,0.041027,0.056553,0.11716,0.17903,0.16303,0.14977,0.12756,0.12169,0.032928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faults,3405,141.8333333,65.16125717,56.12372486,68.68849701,70.75200062,0.560261708,0.922446878,4.666666667,0.041666667,242,51.61170771,53.0801151,50.80053732,0.031655658,0.056039319,0.277881323,0,2.888888889,3.107140323,10,1,9,0.002643172,0.129066709,0.051274588,0.004477602,0.338021051,0.107142857,0.092857143,0.0058381,0.027819,0.058985,0.081101,0.091361,0.11561,0.14532,0.15613,0.16251,0.12245,0.03287,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear-Clinic,2338,97.472375,37.42762855,34.59034961,40.06810417,31.3034729,0.242443627,0.520378118,5.046708333,0.041708333,374,17.97104645,27.0667515,22.11640505,0.01754596,0.021681914,0.116163477,0,8.848484848,9.764255195,36,1,33,0.014114628,0.082317692,0.042668128,0,0.192780298,0.0625,0.052083333,0.0064558,0.029014,0.062473,0.059341,0.06463,0.079933,0.14047,0.18108,0.17868,0.15047,0.047449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fed-Up,3481,145.145,82.26140716,75.44341533,84.35043477,89.45320274,0.475559544,0.751865303,5.630625,0.041708333,296,41.6866983,41.62613152,42.59844493,0.05686804,0.077470498,0.398538411,0,17.4,13.66162509,39,1,5,0.001436369,0.078028255,0.038890187,0,0.236652441,0.083333333,0.055555556,0.0045046,0.026743,0.050709,0.078037,0.11647,0.14651,0.12008,0.11245,0.13975,0.15661,0.048144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Felony,3225,128.96,45.86933071,48.74748853,45.99535128,37.71434374,0.348586957,0.653455833,4.24,0.04,368,23.7921885,23.87089978,19.77114099,0.014674831,0.013913967,0.087229935,0,2,2.449489743,11,1,15,0.004651163,0.097711194,0.042306024,0,0.228755497,0.1015625,0.078125,0.009591,0.026768,0.051295,0.067232,0.11714,0.20507,0.15846,0.13476,0.12212,0.084719,0.022836,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifty-Shades-of-Black,3387,141.2244167,46.76125636,45.96328218,47.10280137,47.13585011,0.493085185,0.721005556,5.005,0.041708333,270,28.44032123,28.32143175,25.73026306,0.016129093,0.023512921,0.16896295,0,9.086956522,10.11203778,36,1,23,0.00679067,0.123347742,0.054922074,0,0.274203307,0.092857143,0.1,0.0025953,0.014294,0.048821,0.061445,0.085244,0.11708,0.15741,0.16181,0.15334,0.14473,0.053234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifty-Shades-of-Grey,3625,144.96,36.85632939,38.08316182,36.48408595,35.58871819,0.344516129,0.832444924,7.8,0.04,372,27.75185715,25.40275822,22.03991724,0.014671556,0.013885081,0.094100545,0,6.78125,13.568655,72,1,32,0.008827586,0.054560549,0.048173467,0,0.22569826,0.0625,0.041666667,0.0032232,0.025156,0.078702,0.086842,0.096677,0.13222,0.13485,0.1235,0.16348,0.13118,0.024172,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filth,1790,74.54166667,50.30642427,44.21518248,51.64113888,59.44875185,0.763454861,0.908173541,5.833333333,0.041666667,96,28.79390581,25.38338,24.66698156,0.029300427,0.02729311,0.137433506,0,23,0,23,23,1,0.000558659,0.128409239,0.052454651,0,0.208661749,0.109589041,0.082191781,0.00026057,0.0026415,0.030302,0.069747,0.071297,0.10255,0.1501,0.18065,0.18232,0.16444,0.045698,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding-Vivian-Maier,4830,161.1276333,96.16579971,90.3546717,96.54005085,109.5594604,0.709597778,0.827553128,5.238566667,0.033366667,225,52.88211017,53.4094652,56.97021399,0.035799555,0.032393047,0.216595052,0,12,14.09153748,43,2,7,0.001449275,0.092275154,0.030202467,0,0.159801977,0.1,0.15625,0.00039356,0.0031278,0.017473,0.063496,0.11836,0.19278,0.13772,0.12959,0.15981,0.14801,0.029249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Focus,3627,151.2344167,58.58613856,53.34257518,61.63270502,56.69864027,0.282627788,0.634315223,7.424083333,0.041708333,523,48.60577949,47.65567674,44.75232188,0.016130211,0.018984714,0.118600186,0,8.708333333,16.33370535,83,1,24,0.006617039,0.074972788,0.029301076,0,0.156130823,0.08,0.1,0.0042196,0.023075,0.053161,0.078587,0.10983,0.16276,0.13091,0.13698,0.13686,0.12337,0.040246,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Force-Majeure,3184,132.757625,96.22402391,97.09437679,96.27590416,93.75928899,1.376375,2.140804893,15.015,0.041708333,96,58.10216166,48.85293338,46.07489379,0.037192037,0.03843637,0.150348967,0,19.5,4.5,24,15,2,0.000628141,0.086371947,0.07537294,0,0.295471875,0.030534351,0.030534351,0.019847,0.069749,0.045556,0.040661,0.080928,0.15305,0.17482,0.15159,0.11036,0.11903,0.034414,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For-No-Good-Reason,2232,92.95833333,143.9030137,138.6868589,144.9024869,152.5592263,0.469127807,0.773563855,5.041666667,0.041666667,193,56.62800755,56.63812291,56.5120042,0.033584569,0.031795351,0.210891927,0,0,0,0,0,0,0,0.04695877,0.020119858,0,0.111065169,0.097826087,0.130434783,0.00062507,0.0074518,0.030848,0.046415,0.079407,0.10531,0.095002,0.10884,0.1669,0.28416,0.075055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Forsaken,3120,130.0882917,38.94355402,29.7658375,43.20293251,41.10898072,0.563445145,0.822454329,6.798458333,0.041708333,218,20.48466978,25.36221985,23.13640457,0.021648021,0.025311816,0.158384889,0,13.33333333,12.64471783,37,1,18,0.005769231,0.08841839,0.042642305,0,0.175390736,0.131782946,0.108527132,0.0087901,0.048504,0.077707,0.09023,0.10995,0.11973,0.11654,0.13003,0.13998,0.12351,0.035031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fort-Bliss,3422,142.6842083,47.24257358,39.60597658,49.54354196,55.45866711,0.454675713,0.620136029,4.5045,0.041708333,304,30.26188925,38.40255317,40.03338976,0.013338401,0.015856172,0.13508355,0,8.888888889,8.665954387,25,1,18,0.005260082,0.102128899,0.058635999,0,0.291485631,0.070921986,0.092198582,0.0051618,0.018789,0.059009,0.073744,0.072395,0.12229,0.15701,0.19875,0.1447,0.11818,0.029978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
