title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
The-Den,2741,114.280833333,129.225177539,125.07774163435742,132.18614188328863,124.96644981679495,0.323895,350,The Den,http://www.movie-list.com/trailers/den,"Horror, Thriller",14-Mar-14,http://imdb.com/title/tt2503154/,0.12201219174,0.0955407336713,0.0,0.353985131104,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get-on-Up,4102,171.045875,98.5634221725,87.48220400959308,101.53566554019866,112.3996115957919,0.437824162138,368,Get on Up,http://www.movie-list.com/trailers/getonup,"Biography, Drama, Music",1-Aug-14,http://imdb.com/title/tt2473602/,0.116780414918,0.0566673496353,0.0,0.266138297738,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The-Humbling,3355,139.88975,112.816841894,102.08847275142807,118.13925882944407,113.63905662476198,0.450584543011,310,The Humbling,http://www.movie-list.com/trailers/humbling,Drama,23-Jan-15,http://imdb.com/title/tt1568343/,0.102475326789,0.0422600394979,0.0,0.265198162049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Internets-Own-Boy-The-Story-of-Aaron-Swartz,3133,130.6305,153.480889283,145.83792142584335,154.74099541901592,167.16640577008602,0.290833614232,445,The Internet's Own Boy: The Story of Aaron Swartz,http://www.movie-list.com/trailers/internetsownboy,"Documentary, Biography, Crime",27-Jun-14,http://imdb.com/title/tt3268458/,0.0978550686464,0.0344160736015,0.0,0.185086751888,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
American-Hero,3823,127.5274,212.885373755,193.71041422277935,219.937663126391,227.03440955248846,0.412710032362,309,American Hero,http://www.movie-list.com/trailers/americanhero,,11-Dec-15,http://imdb.com/title/tt4733536/,0.118292620256,0.0456033678876,0.00461131244314,0.232381449688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barely-Lethal,2692,112.125,114.049783524,109.9695307474552,114.1766798646895,124.19455879886193,0.349187631027,318,Barely Lethal,http://www.movie-list.com/trailers/barelylethal,"Action, Adventure, Comedy",30-Apr-15,http://imdb.com/title/tt1731701/,0.139623988124,0.0718922903562,0.0146937593382,0.336510531136,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deliver-Us-from-Evil-2014,3632,151.442958333,39.1648405598,36.66915391517089,41.79713436333821,32.18870687116827,1.19265151515,121,Deliver Us from Evil (2014),http://www.movie-list.com/trailers/deliverusfromevil2014,"Crime, Horror, Thriller",2-Jul-14,http://imdb.com/title/tt2377322/,0.0553281003785,0.0547695930767,0.0,0.355861952295,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Homesman,3348,139.597791667,110.065838365,99.5901490436061,114.2065114683292,116.30807529805512,0.172188477366,810,The Homesman,http://www.movie-list.com/trailers/homesman,"Drama, Western",14-Nov-14,http://imdb.com/title/tt2398231/,0.114818254784,0.0455470659032,0.0,0.313351743963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The-Sapphires,3277,136.6365,120.551567098,103.74831712816707,126.12484828666877,136.0167470551844,0.473760162602,287,The Sapphires,http://www.movie-list.com/trailers/sapphires,"Comedy, Drama, Musical",22-Mar-13,http://www.imdb.com/title/tt1673697/,0.114435818757,0.0654014423916,0.0,0.44042566701,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The-Raid-2,2281,95.095,89.7362217648,88.79299387644254,91.62758833900409,82.54913631686189,0.418572916667,224,The Raid 2,http://www.movie-list.com/trailers/raid2,"Action, Crime, Thriller",28-Mar-14,http://imdb.com/title/tt2265171/,0.119744582871,0.0559905512218,0.0,0.216498827292,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted-2,3571,148.89875,181.583796167,180.4510033763289,183.30856861844825,175.83211823914422,0.791127216312,188,Ted 2,http://www.movie-list.com/trailers/ted2,Comedy,26-Jun-15,http://imdb.com/title/tt2637276/,0.144347241903,0.0638532557836,0.0,0.326732895132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runner-Runner,3610,150.525375,86.9452302141,79.29944192460098,91.54917343648535,83.36194925987736,0.337322003745,445,Runner Runner,http://www.movie-list.com/trailers/runnerrunner,"Crime, Drama, Thriller",4-Oct-13,http://imdb.com/title/tt2364841/,0.136669088209,0.0722290849139,0.0,0.377991748327,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family-Weekend,2529,105.438666667,174.805925464,167.2540890320717,176.42298832395318,186.43319391656055,0.768051234568,135,Family Weekend,http://www.movie-list.com/trailers/familyweekend,"Comedy, Drama, Family",29-Mar-13,http://www.imdb.com/title/tt1821426/,0.0366245664441,0.0124026947557,0.0,0.0645493979998,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kevin-Hart-Let-Me-Explain,3289,137.137,79.1046297848,66.86664915590838,79.63387669624075,108.53598887234983,0.953590527578,139,Kevin Hart: Let Me Explain,http://www.movie-list.com/trailers/kevinhartletmeexplain,"Documentary, Comedy",3-Jul-13,http://imdb.com/title/tt2609912/,0.131999719765,0.0864610837458,0.0,0.446557543348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anomalisa,2901,120.954166667,128.626199945,98.74476477737566,137.39372148778764,161.94101087723726,0.658807320442,181,Anomalisa,http://www.movie-list.com/trailers/anomalisa,"Animation, Comedy, Drama",30-Dec-15,http://imdb.com/title/tt2401878/,0.069958964723,0.0344834195599,0.0,0.175018492012,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick-Mansions,2977,124.124,115.327251814,101.65119440828052,119.02893680710325,132.22564824103213,0.338390538674,362,Brick Mansions,http://www.movie-list.com/trailers/brickmansions,"Action, Crime, Drama",25-Apr-14,http://imdb.com/title/tt1430612/,0.14062015915,0.0787092765844,0.0,0.323989164779,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spy,3571,119.119,67.1278315029,61.41555882708125,69.72856411510574,68.77240205201234,0.689841025641,169,Spy,http://www.movie-list.com/trailers/spy,Comedy,22-May-15,http://imdb.com/title/tt3079380/,0.0719226172825,0.0496075112591,0.0,0.226942396128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasty-Baby,3001,125.125,134.552150387,121.64629734652594,134.8606223935076,166.92005934305732,0.434,286,Nasty Baby,http://www.movie-list.com/trailers/nastybaby,Drama,23-Oct-15,http://imdb.com/title/tt3121332/,0.238403419815,0.145182867544,0.0,0.640901110776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And-So-It-Goes,4162,138.8387,169.368289051,158.4559243570471,173.8737335106154,174.92922535003203,0.498219544365,278,And So It Goes,http://www.movie-list.com/trailers/andsoitgoes,"Comedy, Drama, Romance",18-Jul-14,http://imdb.com/title/tt2465146/,0.112218124531,0.0446550258948,0.0,0.238011363284,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free-Birds,3660,152.610791667,150.050640441,145.18064792362188,151.79176062097105,153.9858008044397,0.336147118209,454,Free Birds,http://www.movie-list.com/trailers/freebirds,"Animation, Comedy",1-Nov-13,http://imdb.com/title/tt1621039/,0.0630687591456,0.035475300144,0.0,0.20807050755,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unbroken,3675,153.236416667,166.564340962,138.77673276535094,179.70264723983996,171.91685621244025,0.354811821705,430,Unbroken,http://www.movie-list.com/trailers/unbroken,"Action, Biography, Drama",25-Dec-14,http://imdb.com/title/tt1809398/,0.111156539989,0.0630512990371,0.0,0.340011752656,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Gift,3841,160.16,67.7025584965,64.36670339518547,68.25059312467131,73.68642708366264,0.490776584867,326,The Gift,http://www.movie-list.com/trailers/gift,"Drama, Mystery, Thriller",7-Aug-15,http://imdb.com/title/tt4178092/,0.0806934320286,0.0374132532035,0.00106248605832,0.208978186567,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captive,3400,141.766625,84.7964912289,68.54341419847707,92.65536931929253,87.01897311017764,0.381774086758,365,Captive,http://www.movie-list.com/trailers/captive,"Crime, Drama, Thriller",18-Sep-15,http://imdb.com/title/tt3268668/,0.0864501994351,0.0407379405325,0.0,0.24468044698,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hercules,2226,92.8010416667,91.4966836273,75.02049198040312,99.27626915563407,94.7183208768658,0.528143895349,172,Hercules,http://www.movie-list.com/trailers/hercules,"Action, Adventure, Fantasy",25-Jul-14,http://imdb.com/title/tt1267297/,0.0917940400251,0.0455445263841,0.0,0.2220511176,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
CBGB,2946,122.831041667,104.718228701,92.97858265280792,107.0178983276319,123.74933357856939,0.666638194444,180,CBGB,http://www.movie-list.com/trailers/cbgb,"Drama, History, Music",11-Oct-13,http://imdb.com/title/tt1786751/,0.0651506884883,0.0332293529804,0.0,0.28287953707,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
For-Those-Who-Can-Tell-No-Tales,2839,118.25,61.7900548101,60.65220734491194,61.270863970224674,67.50099021220234,0.516011644833,229,For Those Who Can Tell No Tales,http://www.movie-list.com/trailers/forthosewhocantellnotales,Drama,TBA 2014,http://imdb.com/title/tt3074796/,0.141174446655,0.0535628333984,0.0,0.26435696207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Generation-Um,1777,74.0,120.397176542,92.62182858558806,133.4533814785695,126.09979868563096,0.285807291667,256,Generation Um...,http://www.movie-list.com/trailers/generationum,Drama,3-May-13,http://www.imdb.com/title/tt1718158/,0.10537969211,0.0591374968734,0.0,0.27928031201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About-Time,3744,156.114291667,158.099965429,140.29852006183225,164.00077046291074,174.5288203588943,0.370619655582,421,About Time,http://www.movie-list.com/trailers/abouttime,,1-Nov-13,http://imdb.com/title/tt2194499/,0.0998263544598,0.057668047064,0.0,0.252565673573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disconnect,3624,151.109291667,82.4554602175,68.22735372021239,91.1027113284086,75.30712842761663,0.399320754717,371,Disconnect,http://www.movie-list.com/trailers/disconnect,"Drama, Thriller",12-Apr-13,http://www.imdb.com/title/tt1433811/,0.120722471321,0.0728123259194,0.0,0.399522629574,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solace,2659,106.32,63.0965428611,55.258820523322925,66.13086347671934,68.07775917434677,0.439338842975,242,Solace,http://www.movie-list.com/trailers/solace,"Mystery, Thriller",TBA 2015,http://imdb.com/title/tt1291570/,0.108519697418,0.0514186687026,0.0,0.255363435293,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willow-Creek,3129,104.266666667,104.496923903,84.37717250084644,105.6968617774526,151.16253666172202,0.286759259259,360,Willow Creek,http://www.movie-list.com/trailers/willowcreek,Horror,6-Jun-14,http://imdb.com/title/tt2885364/,0.0763340586718,0.0585393421221,0.0,0.278096060401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gravity,2205,91.8333333333,124.790523603,117.088812420595,133.32634304915177,101.14135263513195,0.523668639053,169,Gravity,http://www.movie-list.com/trailers/gravity,,4-Oct-13,http://imdb.com/title/tt1454468/,0.196425767867,0.192680131109,0.0,0.683476268904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,2690,112.153708333,93.3715593607,88.79111652736755,96.99029144628989,86.82976799748242,0.881978658537,123,Interstellar,http://www.movie-list.com/trailers/interstellar,,5-Nov-14,http://imdb.com/title/tt0816692/,0.0754046385916,0.0420948773297,0.0,0.16941234691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Unknown-Known,3482,145.186708333,134.927659823,118.35031703683016,143.34837326177126,135.15135926357854,0.776676801802,185,The Unknown Known,http://www.movie-list.com/trailers/unknownknown,Documentary,4-Apr-14,http://imdb.com/title/tt2390962/,0.128137285729,0.079933543789,0.0,0.312997884297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Philomena,3574,149.023875,97.7016625296,84.90284312919476,102.07518422115211,108.82517175867277,0.655309309309,222,Philomena,http://www.movie-list.com/trailers/philomena,Drama,22-Nov-13,http://imdb.com/title/tt2431286/,0.0800367721282,0.043236221511,0.0,0.310558493044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Riot-Club,3225,134.467666667,86.6830271952,78.39998908078306,92.08690346969304,80.65138703723922,0.654594827586,203,The Riot Club,http://www.movie-list.com/trailers/riotclub,"Drama, Thriller",27-Mar-15,http://imdb.com/title/tt2717860/,0.123023027587,0.0642400107306,0.0,0.345493679882,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big-Game,2281,95.0,126.781369534,141.18263380328085,123.97715337127246,103.5727303582484,0.530664794007,178,Big Game,http://www.movie-list.com/trailers/biggame,"Action, Adventure",26-Jun-15,http://imdb.com/title/tt2088003/,0.119883831218,0.0646111624563,0.00325003679777,0.390211689533,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
God-Help-the-Girl,1637,68.1666666667,143.114526285,111.90653770002443,159.3698969754768,141.36432142278818,0.472619047619,140,God Help the Girl,http://www.movie-list.com/trailers/godhelpthegirl,"Drama, Musical, Romance",5-Sep-14,http://imdb.com/title/tt2141751/,0.176239463049,0.0637959459432,0.00592686840739,0.301414405635,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Enders-Game,2847,118.701916667,76.0808145311,73.26553104016683,77.91670702011581,74.07579195113559,0.313571895425,357,Ender's Game,http://www.movie-list.com/trailers/endersgame,,1-Nov-13,http://imdb.com/title/tt1731141/,0.10419348086,0.0726942507601,0.0,0.339111247679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Long-Way-Down,3213,133.833333333,226.11588046,226.23401948567349,224.47826112157512,234.43677857580886,0.548326502732,244,A Long Way Down,http://www.movie-list.com/trailers/longwaydown,"Comedy, Drama",11-Jul-14,http://imdb.com/title/tt0458413/,0.0795988446365,0.0320974869458,0.0,0.149348517091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Bachelor-Weekend,3016,125.625,167.285223135,147.63831177420101,174.2166294665668,183.2541249876614,0.433045977011,290,The Bachelor Weekend,http://www.movie-list.com/trailers/stag,Comedy,2-May-14,http://imdb.com/title/tt2573858/,0.0672467461686,0.0216961926695,0.0,0.118241160469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machete-Kills,1634,68.1097083333,122.363749701,87.0130909709917,128.7241868186523,182.40736093983486,0.319434439179,211,Machete Kills,http://www.movie-list.com/trailers/machetekills,"Action, Crime, Thriller",11-Oct-13,http://imdb.com/title/tt2002718/,0.215056238784,0.112920736718,0.0,0.441480786034,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goosebumps,3990,166.374541667,61.3452025488,51.38805910168104,63.47328038553618,76.54821137751435,0.420373303647,393,Goosebumps,http://www.movie-list.com/trailers/goosebumps,"Action, Adventure, Comedy",16-Oct-15,http://imdb.com/title/tt1051904/,0.0708108774883,0.04787368553,0.0,0.191111320516,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter-Ascending,2761,115.115,60.6036647286,65.68696943421772,58.518512185429536,58.06546413898374,0.386880747126,290,Jupiter Ascending,http://www.movie-list.com/trailers/jupiterascending,,6-Feb-15,http://imdb.com/title/tt1617661/,0.0664130342159,0.0315379831636,0.0,0.143368802667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venus-and-Serena,3577,149.149,150.650880433,135.37484539414967,158.39367173002995,150.96713893660296,0.405313584475,365,Venus and Serena,http://www.movie-list.com/trailers/venusandserena,Documentary ,10-May-13,http://www.imdb.com/title/tt2376024/,0.0926619138783,0.0440771054993,0.0,0.22929933239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I-Origins,3604,150.275125,165.134476474,137.18830125653878,175.91411864899607,183.0465401845646,0.246739892739,606,I Origins,http://www.movie-list.com/trailers/iorigins,,18-Jul-14,http://imdb.com/title/tt2884206/,0.119217043821,0.0671085383727,0.0,0.357232523972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Last-Sentence,3509,146.166666667,92.0695159223,92.13308240527982,92.03899769965278,92.1407538743362,0.840317919075,173,The Last Sentence,http://www.movie-list.com/trailers/lastsentence,"Biography, Drama",20-Jun-14,http://imdb.com/title/tt1590013/,0.116450768957,0.0564126293652,0.0,0.269097842706,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat,3530,147.041666667,89.0331415033,84.83192018315235,87.6893840494177,107.04572038221495,0.287315930388,498,Heat,http://www.movie-list.com/trailers/heat,"Action, Crime, Drama",15-Dec-95,http://imdb.com/title/tt0113277/,0.0756051440686,0.0491969049184,0.0,0.279271159239,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
